servico_prestador,servico_taxonomia,categoria_taxonomia,taxonomy_id,score,match_type
"Limpeza da casa","Limpeza da casa","Serviços de limpeza","0220012a-6aa9-49f1-8e1d-06b041a270eb",100,exact
"Engomadoria com recolha","Engomadoria com recolha","Engomadoria e lavandaria","37d96757-ec2f-4b2d-a238-5761e97aaaab",100,exact
"Engomadoria com recolha de camisas e calças","Engomadoria com recolha","Engomadoria e lavandaria","37d96757-ec2f-4b2d-a238-5761e97aaaab",100,exact
"Limpeza profunda","Limpeza profunda","Serviços de limpeza","006946ed-55ac-4f55-97a6-a2c742493914",100,exact
"Engomadoria com recolha de lençóis e toalhas","Engomadoria com recolha","Engomadoria e lavandaria","37d96757-ec2f-4b2d-a238-5761e97aaaab",100,exact
"Instalação de eletrodomésticos","Instalação de eletrodomésticos","Instalação e reparação","850ecfd7-1f87-461e-8ef6-737771ddbc6e",100,exact
"Instalação de candeeiros","Instalação de candeeiros","Instalação e reparação","f6ae9b8e-439d-423e-bb92-adcc5c39bbf4",100,exact
"Lavandaria e engomadoria com recolha","Engomadoria com recolha","Engomadoria e lavandaria","37d96757-ec2f-4b2d-a238-5761e97aaaab",100,exact
"Lavandaria com recolha","Lavandaria e engomadoria com recolha","Engomadoria e lavandaria","37ad142a-cfd0-45f8-9f70-8f92ca15f3ae",100,exact
"Instalação de interruptores e tomadas","Instalação de interruptores e tomadas","Instalação e reparação","21d63a12-0ddd-4a92-85ec-6e952c0ba3f4",100,exact
"Reparação de eletrodomésticos","Reparação de eletrodomésticos","Instalação e reparação","6d9da7f7-94e5-47db-8378-ffc6d02944fe",100,exact
"Reparação de máquina de lavar roupa","Reparação de máquina de lavar roupa","Instalação e reparação","e40c1cd5-9366-4020-8aad-0414fada9e85",100,exact
"Reparação de máquina de lavar loiça","Reparação de máquina de lavar loiça","Instalação e reparação","ce96d57c-34b8-4413-bc02-24a81d51ec15",100,exact
"Limpeza de humidade","Limpeza de humidade","Serviços de limpeza","daaf6de1-7a16-4b89-9150-14fb9c7e4f58",100,exact
"Limpeza da casa com engomadoria","Limpeza da casa","Serviços de limpeza","0220012a-6aa9-49f1-8e1d-06b041a270eb",100,exact
"Substituição de torneiras","Substituição de torneiras","Instalação e reparação","f39c8af4-ef6d-4193-8414-235555350194",100,exact
"Limpeza de vidros e janelas","Limpeza de vidros e janelas","Serviços de limpeza","950d5093-3f65-4398-9d98-70a04a89431b",100,exact
"Engomadoria em casa","Engomadoria em casa","Engomadoria e lavandaria","a77cddd2-55b0-4c24-a274-51641e4e160c",100,exact
"Aplicação de juntas de silicone","Aplicação de juntas de silicone","Instalação e reparação","a1fe6368-f979-4b80-910f-7c1b0c25e32a",100,exact
"Reparação de autoclismo","Reparação de autoclismo","Instalação e reparação","a95aa58f-40b9-4c48-9dcc-4405014b44e7",100,exact
"Canalizador","Canalizador","Instalação e reparação","1d98c663-491e-4536-8a13-ec376f042322",100,exact
